Date,AAPL,AMZN,GOOG,IBM,INTC,META,ORCL,NVDA,MSFT,TSLA
6/7/2021,,,23850000,,,20136700,10445600,,,
6/8/2021,74403800,68334000,25060000,5313785,0,0,10726800,0,0,0
6/9/2021,0,49110000,0,5547252,0,0,0,0,0,0
6/10/2021,0,69530000,31234000,0,26738100,13240200,0,28777200,24563600,71758800
6/11/2021,53522400,0,0,3596462,18119700,0,11066500,41630800,0,0
6/14/2021,96906500,51394000,22550000,0,21784500,12250800,0,32137600,19150500,61272000
6/15/2021,0,0,0,0,0,0,0,0,0,0
6/16/2021,0,84056000,0,0,0,0,0,30712400,0,66432300
6/17/2021,96721700,102730000,25756000,0,21498800,17794100,14836100,80965600,27565500,68104200
6/18/2021,0,104954000,0,0,0,0,0,0,0,73682700
6/21/2021,79663300,0,26256000,4482633,19254600,11337500,8924300,0,26696100,0
6/22/2021,74783600,66902000,20984000,0,0,15345300,9845800,58014400,24694100,57476700
6/23/2021,0,0,0,0,0,14817800,0,33235600,0,93297600
6/24/2021,0,0,18934000,0,21209700,12329100,0,0,21446900,137947200
6/25/2021,0,0,33484000,3759533,0,0,12845000,0,0,0
6/28/2021,62111300,44856000,0,0,22480900,29156100,5605400,49543600,19590000,64884600
6/29/2021,64556100,41968000,0,2540211,0,0,0,36763200,19937800,0
6/30/2021,63261400,0,0,3394375,0,0,7899800,32656800,21656500,0
7/1/2021,52485800,0,17120000,0,0,17137000,13108000,48013600,16725300,0
7/2/2021,78852600,63388000,21160000,0,17219400,0,15258100,34276400,26458000,0
7/6/2021,108181800,134896000,21350000,0,0,0,14200400,0,0,0
7/7/2021,104911600,0,0,4246446,0,0,20976600,0,23260000,0
7/8/2021,105575500,103612000,19780000,5739820,19162000,0,16383300,50330000,24618600,68319900
7/9/2021,99890800,0,15106000,4083689,18708000,13018700,15685300,29662400,23916700,54421500
7/12/2021,0,0,16944000,0,15392800,10018600,0,32198400,0,77781000
7/13/2021,100827100,0,16618000,0,15716000,11456000,12789300,0,26120100,0
7/14/2021,127050800,0,17912000,0,0,0,13330500,0,23113700,0
7/15/2021,0,0,0,3807126,0,0,0,0,0,0
7/16/2021,0,0,14856000,0,0,0,14617500,0,0,0
7/19/2021,0,75692000,0,8977086,27007700,0,15619900,74906000,0,63891300
7/20/2021,96350000,65114000,19084000,0,19867000,11024300,12813900,0,26259700,46461300
7/21/2021,0,46380000,14742000,5024984,18497200,9279700,13108100,37101700,24364300,0
7/22/2021,77338200,65308000,13608000,0,0,12385400,13638900,0,23384100,0
7/23/2021,71447400,48726000,26378000,4680013,0,33694300,0,0,22768100,0
7/26/2021,72434100,58002000,23052000,4441630,32881200,14925200,10454100,0,23176100,76009800
7/27/2021,0,0,0,3281302,39878000,0,8465200,0,0,0
7/28/2021,118931200,0,0,0,28478800,0,0,20219100,0,0
7/29/2021,56699500,0,19284000,0,16886600,0,0,19078100,18168300,91183800
7/30/2021,70440600,0,0,0,16465700,15976200,0,18349700,0,88969200
8/2/2021,0,0,20140000,0,0,0,0,21744400,0,100847400
8/3/2021,64786600,83146000,19064000,4272596,16375900,0,9889800,30181100,17879000,0
8/4/2021,0,0,0,0,0,14180600,7509900,23130900,16191300,0
8/5/2021,46397700,48670000,11866000,0,0,10247200,0,21143500,13900200,0
8/6/2021,0,0,13560000,4002833,19256000,8925000,6513900,0,16589300,0
8/9/2021,0,0,12374000,0,0,0,5798700,0,0,44145900
8/10/2021,0,0,16034000,5543695,0,0,5473300,0,0,0
8/11/2021,0,0,0,4455960,0,0,0,0,0,0
8/12/2021,72282600,46282000,14646000,2184780,0,7170700,5687200,15165200,14561300,52377300
8/13/2021,59375000,0,12580000,1997965,0,7195700,0,18306300,18249000,0
8/16/2021,103296000,66394000,18040000,2913319,17690300,11222100,7122800,0,22507600,0
8/17/2021,0,0,0,0,0,0,0,0,20075300,0
8/18/2021,0,0,0,0,0,0,0,0,0,61048200
8/19/2021,86960300,0,18296000,0,22999400,12004500,8099400,76655500,29850500,0
8/20/2021,60549600,0,15564000,2780059,0,8697700,8716400,67574100,40817600,0
8/23/2021,60131800,65362000,21090000,0,23976300,10942000,0,57580700,22830200,60794700
8/24/2021,48606400,51036000,15126000,2474418,20348800,9235100,0,29729900,0,0
8/25/2021,0,0,12838000,0,0,9684500,5748500,34770100,0,37936800
8/26/2021,0,41976000,0,0,0,0,0,0,0,0
8/27/2021,55802400,48048000,24562000,2572637,16525000,11219100,5426800,30472200,22605700,41501400
8/30/2021,90956700,63844000,16916000,0,0,13547300,0,0,16348100,55812600
8/31/2021,0,87128000,0,4429915,0,0,0,0,0,62566200
9/1/2021,0,0,15824000,0,0,11567200,8208000,0,0,39612900
9/2/2021,0,0,0,2840413,0,0,0,0,0,0
9/3/2021,57808700,51514000,19104000,0,13456200,7509600,8456900,28053200,14747900,45738300
9/7/2021,82278300,54758000,15170000,0,13915000,10793800,0,0,0,60119400
9/8/2021,0,61068000,0,3122728,0,0,8851200,0,15046800,0
9/9/2021,0,0,14798000,0,0,9098900,0,0,0,42233100
9/10/2021,0,0,0,0,0,0,10547400,24837600,0,0
9/13/2021,0,0,20176000,0,22639200,0,0,0,0,68857500
9/14/2021,0,0,0,0,0,0,22714200,0,21853400,55574700
9/15/2021,83281300,59150000,20648000,3403579,18796200,0,14951100,16653800,28356300,46073100
9/16/2021,68034100,51672000,0,0,0,11934200,0,15603300,19550800,41770200
9/17/2021,0,0,0,0,0,0,58069000,0,0,84612600
9/20/2021,0,0,34918000,4990152,0,0,13897700,0,0,0
9/21/2021,0,0,0,0,0,0,11124400,0,0,48992100
9/22/2021,76404300,48228000,22068000,3767901,18594100,0,9908000,26872600,26626300,45378900
9/23/2021,64838200,47588000,17272000,3151807,16474300,21806300,9720200,24855500,18604600,0
9/24/2021,53477900,42324000,14950000,3100762,12976200,18801900,7617800,21765500,14999000,64119000
9/27/2021,0,72690000,0,3459017,13899900,15205800,11533000,0,0,84212100
9/28/2021,0,0,0,0,0,0,0,0,0,0
9/29/2021,74602000,0,0,3947499,0,0,12007300,0,0,62828700
9/30/2021,0,0,0,0,0,0,0,0,0,0
10/1/2021,94639600,0,28388000,6907889,19895100,14905300,13320900,0,30086300,0
10/4/2021,0,0,0,7689251,0,0,0,0,0,0
10/5/2021,80861100,65384000,24126000,0,18129400,35377900,9788600,27928200,24993000,0
10/6/2021,83221100,50660000,19764000,0,20059600,26443000,10268300,29720200,28002600,43898400
10/7/2021,61732700,48182000,18250000,0,0,0,9124400,0,0,57587400
10/8/2021,0,0,18924000,3902940,0,0,13202300,0,0,0
10/11/2021,64452200,0,0,0,0,0,12959300,16338800,19298600,42600900
10/12/2021,0,0,0,0,0,31658700,0,0,0,66060000
10/13/2021,0,48402000,16380000,3013003,0,0,9453900,18065200,23416300,42360300
10/14/2021,69907100,0,21426000,4410668,26586700,14302200,0,24358900,27262900,36741600
10/15/2021,67940300,103598000,0,3371049,25231100,0,7422800,22699400,25384800,56773800
10/18/2021,85589200,63482000,16564000,0,22407600,21585000,7344100,18949400,22729300,72621600
10/19/2021,76378900,47722000,15316000,4539117,18392900,18786300,5616500,16147300,0,0
10/20/2021,58418800,0,0,6474008,16850300,0,0,0,0,42096300
10/21/2021,61421000,37628000,14850000,0,38390900,16354400,0,18759000,16918100,94444500
10/22/2021,0,0,0,0,0,0,6819600,0,0,68642400
10/25/2021,0,0,0,6667204,0,38409000,0,23023500,0,188556300
10/26/2021,0,53966000,0,0,0,0,0,48589800,0,0
10/27/2021,0,54044000,51850000,0,0,0,0,0,52588700,0
10/28/2021,100077900,114174000,0,6802138,0,50806800,0,23420400,26297900,81639600
10/29/2021,124953200,129722000,28954000,0,42301000,37059400,7578600,29250300,34766000,89755200
11/1/2021,0,0,0,6177153,28013700,31518900,0,26574000,0,168146100
11/2/2021,69122000,0,21150000,0,27193300,0,6229600,29411200,26487100,128213400
11/3/2021,54511500,67944000,17886000,5670784,23962100,20786500,0,0,21500100,103885500
11/4/2021,0,107060000,24700000,0,24806000,22495300,0,115363100,23992200,0
11/5/2021,0,99940000,0,6790500,36816200,26872800,0,0,0,0
11/8/2021,0,0,0,5625300,31647800,0,0,50310100,0,100337100
11/9/2021,56787900,85898000,0,0,0,0,0,0,0,0
11/10/2021,0,0,0,0,0,0,0,63620600,0,128408100
11/11/2021,0,0,0,0,0,0,0,0,16849800,0
11/12/2021,63804000,53788000,17048000,0,0,25414300,0,41305400,23831000,0
11/15/2021,0,58594000,0,0,0,25076600,5700900,0,0,0
11/16/2021,59256200,44342000,0,0,30927800,0,7392900,26448400,20886800,79627200
11/17/2021,88807000,0,0,0,0,0,0,0,19053400,94336200
11/18/2021,137827700,114070000,26658000,0,0,0,0,0,22463500,0
11/19/2021,117305600,0,0,0,0,26488500,0,53386700,21963400,64926900
11/22/2021,0,0,0,6416200,33389600,0,6488200,0,0,0
11/23/2021,96041900,0,0,0,0,0,0,53216300,30427600,0
11/24/2021,69463600,46560000,16464000,3220800,26035800,13566200,10908500,43516200,21661300,67680600
11/26/2021,0,0,0,3322000,0,0,0,0,0,0
11/29/2021,88748200,65312000,26276000,0,31478900,16650900,0,45496400,28563500,58393500
11/30/2021,174048100,0,0,0,0,0,0,0,0,81276000
12/1/2021,0,0,0,0,0,0,0,0,0,0
12/2/2021,136739200,0,21250000,0,37240800,0,7089800,47289000,0,0
12/3/2021,0,0,0,6630100,0,0,0,0,0,0
12/6/2021,107497000,68860000,22198000,4785600,40336000,21758300,8398500,65893800,30032600,81663000
12/7/2021,120405400,66410000,23258000,5194000,0,18794000,6803700,59305300,31021900,56084700
12/8/2021,116998900,45254000,18964000,5483900,0,19937700,0,0,0,41906400
12/9/2021,0,0,0,4601100,0,16879200,0,0,0,0
12/10/2021,115402700,0,0,0,0,0,0,0,38095700,59664300
12/13/2021,0,0,0,0,0,22948700,0,0,0,0
12/14/2021,0,55976000,24778000,5716100,0,20461000,0,66703500,0,70806300
12/15/2021,131063300,75794000,27280000,0,32590300,24681300,14452200,69829700,35381100,75169200
12/16/2021,0,0,0,7280500,33132300,0,0,0,0,0
12/17/2021,195432700,85542000,43404000,10379000,50102300,40012600,0,0,47750300,100437300
12/20/2021,107499100,57372000,20264000,4941400,0,0,0,46184700,0,0
12/21/2021,91185900,55956000,19548000,4856000,31956300,16116800,0,52438500,24740600,71517900
12/22/2021,92135300,55036000,18438000,3923200,23307900,0,0,39518400,24831500,93634200
12/23/2021,68356600,36788000,13818000,3649000,25198200,13987700,0,0,19617800,92713200
12/27/2021,74919600,0,13256000,4293900,20985400,17795000,0,40368600,19947000,71145900
12/28/2021,0,54638000,0,3445200,0,0,0,0,0,0
12/29/2021,62348900,0,17022000,4239900,14174800,0,0,0,15042000,0
12/30/2021,0,0,0,3158100,0,10593300,0,0,0,47040900
12/31/2021,0,0,0,0,0,0,0,0,0,0
1/3/2022,104487900,63520000,25214000,4605900,33857600,14537900,10644400,39154700,0,103931400
1/4/2022,0,0,0,7300000,0,0,11959000,0,0,0
1/5/2022,0,0,0,0,0,0,0,0,0,0
1/6/2022,0,0,29050000,0,0,27962800,7918400,45418600,39646100,0
1/7/2022,0,0,0,0,0,0,9836800,0,0,0
1/10/2022,106765600,87798000,34096000,5432800,49260800,24942400,11025500,59468100,44289500,91815000
1/11/2022,76138300,62806000,23502000,11105300,39795200,16226800,0,40408900,29386800,66063300
1/12/2022,0,0,23642000,5352000,0,0,0,0,0,83739000
1/13/2022,0,0,0,4868300,0,0,0,0,0,0
1/14/2022,80440800,45974000,23826000,0,30151500,16868500,6054800,39583200,39846400,72924300
1/18/2022,0,0,0,0,0,0,0,0,0,66743400
1/19/2022,0,0,0,0,0,20814700,0,0,0,0
1/20/2022,0,0,0,0,0,0,0,0,0,0
1/21/2022,0,0,0,0,0,0,0,0,0,0
1/24/2022,162294600,155624000,55148000,13484000,64198400,38878100,16770400,91398200,85731500,151565700
1/25/2022,115798400,0,0,19715700,0,25108500,0,0,0,86595900
1/26/2022,0,0,0,0,54895400,0,0,0,0,0
1/27/2022,0,0,0,0,0,0,0,0,0,0
1/28/2022,179935700,74392000,30518000,5471500,61945400,21871600,7854700,54377400,49743700,134789100
1/31/2022,115541600,78308000,34056000,0,51828400,21579500,10594200,56468000,46444500,104436000
2/1/2022,86213900,59220000,51204000,6206400,35386100,18023800,0,0,0,0
2/2/2022,84914300,0,0,5357200,37962700,0,9287600,0,36636000,0
2/3/2022,0,0,0,6100800,0,0,8207200,0,0,78855600
2/4/2022,82465400,253456000,0,0,32431500,89342200,5570200,35482900,35096500,73625400
2/7/2022,0,0,0,0,27558500,0,0,37686800,0,0
2/8/2022,74829200,76040000,34256000,0,28051200,0,6585300,41035900,32421200,50729100
2/9/2022,71285000,0,28628000,0,35217300,86563300,8755900,52428200,31284700,0
2/10/2022,0,68268000,0,0,0,0,0,0,0,0
2/11/2022,0,0,0,0,0,0,0,0,0,0
2/14/2022,86185500,83230000,26792000,0,0,0,0,44042400,36359500,67756500
2/15/2022,62527400,0,0,0,35837900,42685500,5712800,69986900,27058300,57286200
2/16/2022,61177400,52704000,25610000,0,26022900,45817500,0,73267600,29982100,51294300
2/17/2022,0,0,0,0,0,0,0,0,0,0
2/18/2022,0,0,0,0,0,0,0,0,0,0
2/22/2022,0,0,0,0,0,0,8039000,63342200,41736100,0
2/23/2022,0,0,0,0,0,0,0,0,0,0
2/24/2022,141147500,100786000,43166000,6563200,72740100,49957200,11240500,73580100,56989700,135322200
2/25/2022,91974200,62396000,26236000,4460900,39266300,37627600,8291800,52886600,32546700,76067700
2/28/2022,95056600,57684000,29676000,6757300,41946100,34239800,9234400,47731900,34627500,99006900
3/1/2022,0,0,0,0,0,0,8752100,0,0,0
3/2/2022,79724800,47334000,23966000,4891400,46936500,29452100,8527200,38964200,31873000,74643300
3/3/2022,0,0,0,5206600,0,0,0,0,0,0
3/4/2022,0,0,0,4402400,38310700,0,0,0,0,0
3/7/2022,0,0,0,0,0,0,0,0,0,0
3/8/2022,0,0,35250000,0,0,37508100,0,55746700,0,80399100
3/9/2022,91454900,0,32258000,0,0,31894700,8959500,49274200,35204500,59184000
3/10/2022,0,135062000,24266000,0,0,24853000,13812600,42806600,30628000,0
3/11/2022,0,0,0,0,0,0,22795800,0,0,0
3/14/2022,0,0,0,0,0,0,0,0,0,0
3/15/2022,92964300,75584000,30292000,4021200,34448900,31721700,16847200,49199600,34245100,66841200
3/16/2022,102300200,84958000,32058000,4292800,38885500,40640300,0,67142200,37826300,84028800
3/17/2022,75615400,72934000,23994000,3671900,28555000,29499700,10462400,47194100,30816600,66582900
3/18/2022,123511700,102962000,45900000,7466000,46237100,52128000,24176000,73071900,43390600,100414200
3/21/2022,95811400,66538000,0,0,0,0,0,59172700,28351200,81981600
3/22/2022,81532000,64086000,29776000,2690200,27923300,31998800,9292300,0,27599700,105868500
3/23/2022,98062700,0,0,0,0,23717300,0,0,0,120676200
3/24/2022,90131400,0,20544000,2971100,51677900,31502300,7025700,87737900,24484500,68920800
3/25/2022,80546200,49032000,0,3530200,33239800,40039000,0,0,0,62031600
3/28/2022,90371900,59854000,23774000,2483500,22932400,26224100,6626700,42549400,29578200,102506100
3/29/2022,100589400,0,28678000,0,27303700,31417900,0,0,30393400,0
3/30/2022,0,0,0,2622900,0,0,0,0,28163600,59865000
3/31/2022,0,0,0,0,0,0,0,0,0,0
4/1/2022,78751300,0,23480000,4012400,0,19544800,0,0,27110500,54263100
4/4/2022,76468400,49882000,19076000,2809800,23784900,28054800,7882400,39712000,24289600,82035900
4/5/2022,0,0,0,0,0,0,0,0,0,0
4/6/2022,0,0,0,3958100,31518700,0,5492400,0,0,0
4/7/2022,77594700,0,0,0,24117000,0,7112200,0,31411200,79447200
4/8/2022,0,0,0,0,0,0,0,0,0,0
4/11/2022,0,0,0,0,0,0,0,0,0,0
4/12/2022,0,0,0,0,0,0,0,0,0,0
4/13/2022,70618900,53390000,19542000,3064900,22171300,19231800,4728600,51694300,21907200,55121100
4/14/2022,0,0,0,0,0,0,0,0,0,0
4/18/2022,69023900,46514000,14918000,0,25593100,16580800,0,52570100,20778000,51715200
4/19/2022,67723800,54926000,22720000,7971400,31483100,20089900,5412400,51278100,22297700,49847700
4/20/2022,0,0,0,17859200,0,0,9472600,0,0,0
4/21/2022,0,0,0,9922300,0,0,0,0,0,0
4/22/2022,0,0,0,0,0,0,0,0,0,0
4/25/2022,96046400,61874000,34522000,5748300,35999300,29281100,7305900,64156600,35678900,68341200
4/26/2022,0,0,0,0,0,0,0,0,0,0
4/27/2022,88063200,0,62238000,0,0,71062900,7279200,0,63477700,0
4/28/2022,130216800,117316000,36790000,0,41097000,100890600,6177900,57032700,33646600,0
4/29/2022,0,0,0,0,0,0,0,0,0,0
5/2/2022,123055300,148788000,30280000,4213500,45446500,49915300,7379900,57204900,35151100,75781500
5/3/2022,88966500,79134000,21216000,0,40158400,41556300,0,47575100,0,63709500
5/4/2022,108256500,110746000,33232000,5932600,44625600,41375900,6759900,64885500,33599300,81643800
5/5/2022,0,0,0,0,0,0,0,0,0,0
5/6/2022,116124600,0,35310000,7306400,0,0,6222500,0,0,0
5/9/2022,0,0,0,7647900,0,0,0,0,0,0
5/10/2022,0,0,0,0,0,0,8129000,0,0,0
5/11/2022,0,0,36502000,5301100,0,0,0,0,0,0
5/12/2022,0,132026000,41464000,5384800,42329600,38262200,0,0,0,140313000
5/13/2022,113990900,93684000,29738000,4195100,32034100,24549800,6700100,67043700,34925100,0
5/16/2022,0,0,0,4250400,0,27112600,0,0,32550900,0
5/17/2022,78336300,76448000,0,4372900,28596600,24872700,5952500,58583000,28828800,80236200
5/18/2022,0,0,0,0,0,0,0,0,0,0
5/19/2022,0,88142000,0,0,0,24446900,0,62131000,0,90296700
5/20/2022,0,0,0,0,0,0,7531100,0,0,0
5/23/2022,117726300,0,31558000,3591500,27199500,25059200,7370200,63988900,33175400,88903500
5/24/2022,0,102934000,0,4189700,0,50406300,0,0,29043900,0
5/25/2022,92482700,93120000,37900000,3299300,26283100,28030200,7103300,78113200,28547900,92139300
5/26/2022,90601500,93002000,30288000,3929300,28826700,23056500,6758900,99657500,25002100,106003200
5/27/2022,90978500,93660000,29924000,4608000,30553300,22562700,6566700,73837900,26910800,89295000
5/31/2022,0,144634000,51302000,7978100,41111500,0,0,0,0,0
6/1/2022,0,0,0,0,0,0,0,0,0,0
6/2/2022,72348100,100560000,27472000,3734800,28727600,31951600,6200400,64865600,44008200,93473100
6/3/2022,0,0,0,4352200,0,0,0,0,0,0
6/6/2022,0,0,23786000,0,0,30574200,5274700,0,0,0
6/7/2022,67808200,85156700,26414000,2887100,25168700,18828700,5675700,38891400,22860700,72808500
6/8/2022,0,0,22544000,0,0,22267200,0,0,0,76210500
6/9/2022,0,0,0,0,0,0,0,0,0,0
6/10/2022,0,0,0,0,0,0,0,0,0,0
6/13/2022,0,0,0,6486000,0,0,0,0,0,0
6/14/2022,0,0,25480000,4607800,0,0,0,46968000,28651500,97988700
